Name,Rank,Category,Followers,Audience Country,Authentic Engagement,Engagement Avg.
bellahadid,90,Modeling,53200000.0,United States,499700.0,798400.0
jacksonwang852g7,91,Music,28900000.0,China,1200000.0,1500000.0
deepikapadukone,92,Actors,67800000.0,India,468700.0,611000.0
dannapaola,93,Music,34500000.0,Mexico,828300.0,1200000.0
blackpinkofficial,94,Music,47700000.0,Indonesia,700100.0,853000.0
haileybieber,95,Lifestyle,45900000.0,United States,655900.0,880400.0
karimbenzema,96,Sports,55900000.0,France,502400.0,724000.0
zacefron,97,Actors,53900000.0,United States,514900.0,747100.0
antonelaroccuzzo,98,Modeling,20000000.0,Argentina,1200000.0,2000000.0
realstraykids,99,Music,21900000.0,Indonesia,1500000.0,1800000.0
nasa,100,Science,78600000.0,India,412200.0,496700.0
yawnzzn,102,Others,9600000.0,India,3200000.0,4099999.9999999995
chrisevans,103,Others,17000000.0,United States,1900000.0,2300000.0
twicetagram,104,Music,26100000.0,Indonesia,1200000.0,1500000.0
priyankachopra,105,Actors,80200000.0,India,390300.0,471900.0
ursulolita,106,Actors,24100000.0,Brazil,1100000.0,1600000.0
jenniferaniston,107,Actors,40700000.0,Brazil,628000.0,911900.0
hi_high_hiy,108,Actors,14300000.0,South Korea,2200000.0,2600000.0
addisonraee,109,Beauty,40400000.0,United States,579200.0,892300.0
nike,110,Fitness,227600000.0,United States,123500.0,158400.0
finnwolfhardofficial,111,Music,24600000.0,Brazil,1100000.0,1400000.0
samantharuthprabhuoffl,112,Beauty,24200000.0,India,1200000.0,1400000.0
madelame,113,Actors,25400000.0,Russia,965600.0,1400000.0
miakhalifa,114,Fitness,27800000.0,India,769700.0,1200000.0
jannatzubair29,115,Actors,43300000.0,India,635300.0,772100.0
katyperry,116,Music,167200000.0,Brazil,156300.0,200400.0
meganfox,117,Actors,20400000.0,United States,973900.0,1600000.0
vindiesel,118,Actors,81700000.0,Brazil,309800.0,403900.0
kapilsharma,119,Actors,42000000.0,India,683800.0,780700.0
camimendes,120,Actors,27100000.0,Brazil,861500.0,1200000.0
akshaykumar,121,Actors,62600000.0,India,428100.0,511500.0
tyga,122,Music,35400000.0,United States,604100.0,904100.0
_jeongjaehyun,123,Others,12100000.0,Indonesia,2100000.0,2700000.0
ladygaga,124,Music,53100000.0,United States,426500.0,598800.0
kritisanon,125,Modeling,49700000.0,India,538600.0,626900.0
hoooooyeony,126,Lifestyle,23400000.0,South Korea,1000000.0,1300000.0
mrbeast,127,Shows,19000000.0,United States,1200000.0,1600000.0
rosalia.vt,128,Music,20900000.0,Spain,1100000.0,1500000.0
shakira,129,Music,75600000.0,India,294000.0,400300.0
pewdiepie,130,Computers & Gadgets,21900000.0,United States,1100000.0,1400000.0
hrithikroshan,131,Actors,43500000.0,India,540900.0,684000.0
madelyncline,132,Actors,12600000.0,United States,1600000.0,2400000.0
hazardeden_10,133,Sports,27000000.0,Spain,680800.0,1100000.0
shraddhakapoor,134,Actors,73400000.0,India,349000.0,403700.0
vinijr,135,Sports,21300000.0,Brazil,806700.0,1400000.0
emrata,136,Modeling,29500000.0,United States,606100.0,967700.0
lanarhoades,137,Lifestyle,16800000.0,United States,1000000.0,1700000.0
britneyspears,138,Music,41600000.0,United States,494600.0,685600.0
maluma,139,Music,62700000.0,Italy,294200.0,452100.0
beingsalmankhan,140,Actors,53000000.0,India,417300.0,534900.0
luisitocomunica,141,Humor,32299999.999999996,Mexico,643500.0,852100.0
natgeo,142,Nature,232200000.0,United States,91400.0,117800.0
madisonbeer,143,Music,31800000.0,United States,571300.0,852400.0
jacquelinef143,144,Actors,62200000.0,India,347800.0,424300.0
garethbale11,145,Sports,47800000.0,Spain,342300.0,538600.0
norafatehi,146,Actors,41200000.0,India,507000.0,625700.0
sabrinacarpenter,147,Music,27400000.0,Brazil,756600.0,928800.0
marcelotwelve,148,Sports,57200000.0,Spain,300900.0,446200.0
rohittt_09_,149,Shows,23600000.0,India,753100.0,1100000.0
jasonstatham,150,Actors,30700000.0,Iran,549900.0,811900.0
thedeverakonda,151,Actors,16000000.0,India,1300000.0,1600000.0
theestallion,152,Music,29100000.0,United States,486600.0,850200.0
theweeknd,153,Music,40300000.0,United States,446600.0,607000.0
shahidkapoor,154,Actors,35300000.0,India,608700.0,688500.0
elrubiuswtf,155,Computers & Gadgets,17000000.0,Mexico,1300000.0,1400000.0
annehathaway,156,Actors,24400000.0,United States,737600.0,972300.0
sydney_sweeney,157,Lifestyle,13600000.0,United States,923900.0,1700000.0
erling.haaland,158,Lifestyle,17100000.0,Brazil,909800.0,1400000.0
lewishamilton,159,Racing,29000000.0,Brazil,553700.0,793700.0
hegdepooja,160,Actors,20700000.0,India,961100.0,1100000.0
luissuarez9,161,Sports,44100000.0,Brazil,347400.0,520799.99999999994
championsleague,162,Sports,95700000.0,Brazil,175800.0,237700.0
433,163,Sports,50800000.0,Spain,266700.0,441300.0
eminem,164,Actors,36200000.0,Iran,481300.0,621400.0
rohitsharma45,165,Sports,24400000.0,India,810300.0,914300.0
zkdlin,166,Music,14100000.0,Indonesia,1300000.0,1600000.0
sidhu_moosewala,167,Others,10800000.0,India,1700000.0,2100000.0
jichangwook,168,Actors,20600000.0,Indonesia,836500.0,1100000.0
jamesrodriguez10,169,Sports,49800000.0,Colombia,286100.0,436900.0
